strategy,total_return,annualized_return,volatility,sharpe,max_drawdown
Long-Short Portfolio,0.07729883249295533,0.12525204082866437,0.23082987641353603,0.5426162452397323,-0.2042355883501784
SPY Benchmark,0.056664277638658334,0.09128435071943852,0.12337322208813675,0.7399040827046389,-0.08682777081098525
