date,portfolio_return,spy_return,portfolio_cumulative,spy_cumulative
2025-08-04,-0.0030407727036272925,0.015199814188961769,0.9969592272963728,1.0151998141889618
2025-08-05,0.005069035565574365,-0.005069966572431306,1.0020128490769655,1.0100527850666852
2025-08-06,0.002818648689825065,0.007659680244984202,1.004837171281204,1.0177894664308518
2025-08-07,-0.016727781996434876,-0.0008376240775045396,0.9880284741380978,1.0169369414679388
2025-08-08,-0.01841408388564808,0.007797573458693252,0.96983483493391,1.0248665819718938
2025-08-11,-0.0009229772038383266,-0.0019774432364148,0.9689396994897777,1.022839966481146
2025-08-12,0.0035428229360210395,0.010646114455700184,0.9723724812807514,1.033729237834169
2025-08-13,0.0008669314530594385,0.0034230513551560815,0.9732154615688631,1.0372677461026016
2025-08-14,0.014962299173256921,9.296545483872265e-05,0.9877770024648957,1.0373641761704075
2025-08-15,0.006856715153676363,-0.002341194642022759,0.9945499080061497,1.034935504719331
2025-08-18,-0.005914686903401911,-0.00021763143719111255,0.9886674566904862,1.0347102702180389
2025-08-19,-0.010067839419752922,-0.005425130066677664,0.9787137114969909,1.0290968324207788
2025-08-20,0.00212782188045485,-0.0026570836306466505,0.9807962399470154,1.0263624360730033
2025-08-21,-0.0068201759211548585,-0.004011822287558586,0.9741070370477696,1.0222448523768526
2025-08-22,0.016812519082811117,0.01535688655115064,0.990484230196836,1.0379433506023017
2025-08-25,0.001291393268529506,-0.0044011570576184544,0.9917633348642967,1.0333751988993902
2025-08-26,-0.0003110473199393615,0.004187036349890816,0.991454849536973,1.0377019784202577
2025-08-27,-0.010813179999037414,0.0022785132820093423,0.9807340697880113,1.0400663961608556
2025-08-28,0.0005555575372078181,0.003541362732142783,0.9812789239924785,1.0437496485351738
2025-08-29,-0.010077063019481025,-0.0059636816039791984,0.9713905144357177,1.0375250579570447
2025-09-02,-0.003659591687766972,-0.007410295555874247,0.967835621783513,1.0298366906309575
2025-09-03,-0.016510769376377965,0.0054195597134076845,0.951855911038002,1.0354179520708902
2025-09-04,0.023969295107270416,0.008357360441814565,0.9746712262692715,1.044071313104272
2025-09-05,0.008385027315697735,-0.002896148488535144,0.982843871125364,1.0410475275489022
2025-09-08,0.007997559965693735,0.002456541908713472,0.9907042239216037,1.0436049044292885
2025-09-09,0.02120324235880855,0.0023119206976098816,1.0117103656873088,1.0460176362079658
2025-09-10,-0.011396624541277323,0.0028908542790047065,1.000180282505052,1.0490415207675121
2025-09-11,-0.009325726950118352,0.008310264731785644,0.9908528742895177,1.057759333519725
2025-09-12,-0.018444482015269215,-0.00033461291182779185,0.972577106269907,1.057405393589123
2025-09-15,0.0022446993898791456,0.005323858293106998,0.9747602495069614,1.0630348700629586
2025-09-16,0.018079206682078852,-0.0013767927852816886,0.9923831415232723,1.061571291323353
2025-09-17,-0.010022680346736312,-0.0012424352925486382,0.9824368025142947,1.0602523576854566
2025-09-18,0.00593936897923375,0.004672445142330339,0.9882718571832056,1.0652063286637683
2025-09-19,-0.025996677864188966,0.004952874775332017,0.9625800720697701,1.070482162219531
2025-09-22,-0.03466459320995385,0.004731007968096224,0.9292126254394635,1.0755466218586966
2025-09-23,-0.01328283888037729,-0.0054434748398075605,0.9168700438501387,1.0696919108835687
2025-09-24,0.005611795569756162,-0.003181633452613686,0.922015331100259,1.0662885433159113
2025-09-25,-0.018379538416208097,-0.0046134974884720625,0.905069114901969,1.0613692237993368
2025-09-26,-0.0013330165209125,0.005729144366994232,0.903862642819237,1.067449961309168
2025-09-29,0.00414830304858288,0.0028103664411398555,0.9076121389759443,1.0704498868580272
2025-09-30,-0.015566103043926638,0.0037668667591119753,0.8934841548967261,1.074482128954128
2025-10-01,-0.012497003176329624,0.0034075694259330103,0.8823182805749815,1.0781435014054634
2025-10-02,0.011333134929551292,0.001151711603039951,0.8923177126995475,1.0793852117857743
2025-10-03,-0.021151360682190645,-1.4767362221612679e-05,0.8734439789151319,1.0793692721133752
2025-10-06,-0.0015116169610056573,0.003586228910336109,0.8721236661821156,1.0832401374019567
2025-10-07,0.004940273039586385,-0.003707492250961897,0.8764321952173404,1.079224032986608
2025-10-08,0.007182742303090128,0.005963052412792269,0.8827273818217182,1.0856595024604523
2025-10-09,0.026632126861175776,-0.0028970083792374535,0.9062362894382278,1.0825143377848256
2025-10-10,-0.015981660910357187,-0.02702782789908964,0.8917531283557657,1.0532563265648804
2025-10-13,0.008027037073888077,0.015344074693208754,0.8989112637778333,1.0694175703107867
2025-10-14,-0.013041373211148566,-0.0012216548034567065,0.8871882265032014,1.0681111111991155
2025-10-15,0.0013528187459913577,0.004439615866679292,0.8883884313672377,1.0728531142357716
2025-10-16,-0.0008074985870342721,-0.006810260525524803,0.887671058964171,1.0655467050222054
2025-10-17,-0.01163331786555366,0.005676300358907982,0.8773444993751881,1.0715950681663562
2025-10-20,-0.004135062793654276,0.010400475399621634,0.8737166247786046,1.0827401663111762
2025-10-21,0.011717706771473213,-1.4995920012528252e-05,0.8839545799891216,1.0827239296262479
2025-10-22,-0.0036542135211992677,-0.005198815962920711,0.8807244212107994,1.0770950471774707
2025-10-23,0.005400463294964242,0.005929891190499692,0.885480741120527,1.0834821036090592
2025-10-24,0.0008555315991942702,0.008172571104630766,0.8862382978750336,1.0923369381413992
2025-10-27,-0.0043564645623938025,0.011797712023148943,0.8823774321365048,1.1052240147698398
2025-10-28,-0.0048420857759302605,0.002655998956591077,0.8781048849233547,1.1081594885998678
2025-10-29,0.0016216401788800572,0.0004802976988058649,0.8795288550860172,1.1086917350521521
2025-10-30,-0.0613997617610787,-0.010998144919191377,0.8255259929217414,1.0964981826793387
2025-11-03,0.027715954373879637,0.0018766870879645126,0.8484062336760121,1.0985559666607496
2025-11-04,-0.01933242836007626,-0.011853539942447533,0.8320044809432285,1.0855341896309223
2025-11-05,0.02074628993607691,0.003465389196996238,0.8492654871329919,1.0892959880846393
2025-11-06,-0.0029318662015042074,-0.010729333212666003,0.8467755543551626,1.077608568461259
2025-11-07,-0.004885503958199033,0.0009845075813768034,0.8426386290326543,1.0786694822666658
2025-11-10,0.01685878782587502,0.015604434791510524,0.856844494893402,1.0955015098642884
2025-11-11,-0.009954198615441223,0.0022891497024457585,0.8483152946086856,1.098009276819623
2025-11-12,-0.01691547448809716,0.0005563986064420767,0.8339656388848697,1.098620207651106
2025-11-13,-0.019120302032005876,-0.016594021470737852,0.8180199639850763,1.080389680337157
2025-11-14,-0.01581484638940328,-0.00016358609958400105,0.8050831039111871,1.0802129436033199
2025-11-17,0.02341907807763427,-0.009316523930962162,0.8239374079806673,1.0701491138637045
2025-11-18,-0.009921269182973258,-0.00839746055820656,0.8157629031661697,1.0611625788886343
2025-11-19,0.019977378693624315,0.003863199783587179,0.8320597076069307,1.0652620619337476
2025-11-20,-0.005897407904502439,-0.015242336682765423,0.8271527121102716,1.0490249789303765
2025-11-21,0.022565536136773867,0.009961222976632822,0.8458178565260265,1.0594745506535594
2025-11-24,0.03408405383962554,0.014718507062180475,0.8746467578863764,1.0750684343095542
2025-11-25,0.010061661926701992,0.00940589965210692,0.883447157869515,1.0851804201218176
2025-11-26,-0.016472890568687226,0.006903575013019525,0.8688942295147127,1.0926720445547886
2025-11-28,0.00017143827475685214,0.005458406338614941,0.869043191242367,1.0986362925688138
2025-12-01,-0.00911095572609033,-0.004565415602551193,0.8611253772028975,1.0936205612971912
2025-12-02,-0.006191068503063946,0.0018522092741120044,0.8557940910029076,1.0956461754431854
2025-12-03,0.01778126224183274,0.0034627677932603795,0.8710111901600411,1.099440143732319
2025-12-04,-0.007364365618701796,0.0007310561539983773,0.864596745297722,1.1002438962153474
2025-12-05,0.0076699799573048955,0.0018995368427094927,0.8712281850053066,1.1023338500321747
2025-12-08,-0.023719402039859727,-0.0030042775146746914,0.8505631734167085,1.0990221332328582
2025-12-09,0.007884096063466406,-0.0008631449669616043,0.8572690951839725,1.098073517809979
2025-12-10,0.02419564967290111,0.00663226800901473,0.8780112778864487,1.1053562356736963
2025-12-11,-0.019168963396889727,0.002326948130527251,0.861180711838587,1.1079283422998638
2025-12-12,-0.009246292490248664,-0.010752057995096265,0.8532179830899669,1.0960158325090448
2025-12-15,0.0015707199747225231,-0.0015107978831542246,0.8545581496187988,1.0943599741093866
2025-12-16,-0.005197037153004236,-0.00273229759527871,0.8501169791658274,1.0913698569837582
2025-12-17,-0.013636044136489167,-0.011003620102041367,0.8385247465167434,1.0793608376866897
2025-12-18,0.013180042267611713,0.0075513325776148665,0.8495765381182725,1.0875114503433148
2025-12-19,0.004347682181194079,0.009063445479451815,0.8532702268946099,1.097368051081781
2025-12-22,0.012601976713338126,0.006229892278320159,0.8640231184241204,1.1042045358296906
2025-12-23,0.010942021078381048,0.004570454818432879,0.8734772775981257,1.1092512527710088
2025-12-24,-0.003760096353310538,0.0035176203055324873,0.8701929188719293,1.1131531775016934
2025-12-26,0.000444187376026528,-0.00010141503224314619,0.8705794475811999,1.1130402870363054
2025-12-29,-0.0009209556709773858,-0.003563628207054803,0.8697776825019136,1.1090738252738344
2025-12-30,0.0023054570681936837,-0.0012211007345822589,0.8717829176077948,1.1077195344110866
2025-12-31,0.0011618397350401377,-0.007408967373390696,0.8727957896418007,1.0995124765217674
2026-01-02,0.006681545311896242,0.0018330397334518356,0.8786274142583247,1.101527926578658
2026-01-05,0.023700280448103073,0.006660113816063129,0.8994511303856386,1.1088642279412437
2026-01-06,0.016591080570457606,0.005947183373089304,0.9143739965590559,1.1154588468406694
2026-01-07,0.01214590830410589,-0.0032233567922274053,0.9254798992769212,1.1118633249902554
2026-01-08,0.023184328817049793,-0.00010153268198576093,0.9469365295753274,1.1117504345248677
2026-01-09,0.005161211464900228,0.006613342394092614,0.9518238692483044,1.1191028208051619
2026-01-12,0.003661609357398954,0.0015704538117717881,0.9553090764345397,1.12086032009586
2026-01-13,0.0036259501623099877,-0.0019994751058702853,0.9587729795352936,1.1186191877886706
2026-01-14,0.0016247269512131846,-0.0049152373416185835,0.9603307238352394,1.1131209089858007
2026-01-15,0.005003308403121132,0.0027232143965294497,0.9651355546155796,1.1161521758702289
2026-01-16,-0.0005177697810567206,-0.0008378739908954103,0.9646358365907762,1.115216980992186
2026-01-20,-0.006016153459014184,-0.020356785723545046,0.9588324393657816,1.0925147478748691
2026-01-21,0.020104056657892555,0.011541079202094462,0.9781088610522165,1.1051235471095493
2026-01-22,0.0005104867537389923,0.005223230019727687,0.9786081726694983,1.1108958615963198
2026-01-23,-0.00945372874776218,0.0003627802397405677,0.9693566764547377,1.1112988726633166
2026-01-26,-0.01292323047797217,0.005078147060609828,0.956829456709552,1.116942211766991
2026-01-27,-0.0014862559412778253,0.003984264729684606,0.9554073632447277,1.1213924052264301
2026-01-28,0.00121977571827514,-0.00010066990364987483,0.9565727459474751,1.1212795147610424
2026-01-29,0.047077761359702874,-0.0019843824489698125,1.001606049404386,1.1190544673715612
2026-02-09,-0.023808055361276448,0.004821832103010459,0.9777597571299769,1.1244503601273508
2026-02-10,0.007720745647829097,-0.002637160432080843,0.9853087915194607,1.121485004129784
2026-02-11,0.009839733366352355,-0.00023105881441631837,0.9950039673115352,1.121225875134344
2026-02-12,-0.018698316643320223,-0.0154488742279012,0.9763990680693843,1.103904197608325
2026-02-13,-0.00036301493416196484,0.0007044854938154099,0.9760446206259732,1.104681882102102
2026-02-17,0.028196323094757336,0.0016134664707250224,1.003565490104043,1.1064642492796912
2026-02-18,0.004696074295451824,0.005037758541617032,1.008278308205923,1.1120383490024939
2026-02-19,-0.007381309547254189,-0.0026374339404172664,1.0008358939032733,1.109105421317789
2026-02-20,-0.007974553867061251,0.007231864589122949,0.9928546741552533,1.1171263215398215
2026-02-23,0.011085214074031957,-0.010211314710874664,1.0038606807626673,1.1057189930987765
2026-02-24,0.018547876179294487,0.00726845293039502,1.0224801643707155,1.1137558595543589
2026-02-25,-0.005644410180938864,0.008438348943581309,1.0167088669211335,1.1231541201352369
2026-02-26,-0.002509126575501286,-0.005554476391621099,1.014157815683594,1.1169155870907936
2026-02-27,-0.0114681727909684,-0.004801943258527341,1.0025272786160233,1.1115522218170188
2026-03-02,0.001442578809257855,0.0005685787823312971,1.0039735032238577,1.1121842268257973
2026-03-03,0.002616516286698012,-0.00881433848279567,1.0066004162464561,1.1023810585953284
2026-03-04,0.008133201875096974,0.007055308353084655,1.0147873006393453,1.1101586968863184
2026-03-05,0.00971429940892754,-0.005575546846393831,1.0246452483141333,1.1039689550648972
2026-03-06,-0.0027089483029700823,-0.013107135070836495,1.0218695373075664,1.0894990848568513
2026-03-09,-0.010097906162083947,0.008760025013039074,1.0115507946099425,1.0990431240918805
2026-03-10,-0.002474016839689952,-0.0016071269053671289,1.0090482009098758,1.0972768223169937
2026-03-11,-0.007264660783643018,-0.0012551629285171284,1.0017178080159201,1.0958995611273004
2026-03-12,0.004059631648483553,-0.015184948869363502,1.0057844133321912,1.0792583823256243
2026-03-13,0.005799156212171919,-0.005660109501006372,1.0116171142608723,1.0731496617017824
2026-03-16,-0.0018606804738857674,0.010176866111483163,1.0097348180493184,1.0840709621265048
2026-03-17,0.006005160176814794,0.00263055486997521,1.0157984373678115,1.0869226702753254
2026-03-18,-0.010021812976421685,-0.013953645387120184,1.0056182954067698,1.0717561367710817
2026-03-19,0.003597778882846736,-0.0024643404851918405,1.0092362876741887,1.0691149647329838
2026-03-20,0.010658712760458044,-0.01433577587250423,1.019993447371939,1.0537883722166315
2026-03-23,0.008149895941599428,0.01050001924493782,1.0283062878291336,1.0648531704049977
