Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-04-11 00:00:00-04:00,155.62379478205062,158.37107788543062,155.17748650921038,158.10330200195312,27166400,0.0,0.0
2024-04-12 00:00:00-04:00,156.66518304426685,158.90665201136972,155.85189745243298,156.4370574951172,25353700,0.0,0.0
2024-04-15 00:00:00-04:00,157.55778721582507,157.93467710778722,153.32278518896982,153.590576171875,27136500,0.0,0.0
2024-04-16 00:00:00-04:00,152.92606827651122,154.3740918150493,152.17228850176252,153.13433837890625,20779500,0.0,0.0
2024-04-17 00:00:00-04:00,154.3443362556772,155.7923749027095,153.3128680735991,154.19557189941406,21763100,0.0,0.0
2024-04-18 00:00:00-04:00,154.0666493097183,155.65353990489737,153.35255005525875,154.7311553955078,19883000,0.0,0.0
2024-04-19 00:00:00-04:00,154.9195626052641,155.07825465285381,151.051538530931,152.8268585205078,32615600,0.0,0.0
2024-04-22 00:00:00-04:00,153.04506419862878,156.3477688326678,152.79711353661722,154.99891662597656,26446200,0.0,0.0
2024-04-23 00:00:00-04:00,155.67337597138751,157.66689417461689,154.99894218995382,156.96270751953125,21151600,0.0,0.0
2024-04-24 00:00:00-04:00,156.19903597568538,158.26198771551822,155.88165180015244,157.82559204101562,22779100,0.0,0.0
2024-04-25 00:00:00-04:00,150.08951991120836,155.2072260039545,149.63328396324783,154.7212371826172,57109700,0.0,0.0
2024-04-26 00:00:00-04:00,172.94064243070838,173.27786687075127,168.2593321924788,170.5404815673828,64665300,0.0,0.0
2024-04-29 00:00:00-04:00,167.6741590817137,168.16014784427256,163.85572783432124,164.7880096435547,45610000,0.0,0.0
2024-04-30 00:00:00-04:00,164.25246727701446,166.72206177178046,161.26714620693434,161.44566345214844,33562900,0.0,0.0
2024-05-01 00:00:00-04:00,162.95319556004813,165.7500714576766,161.7531075684998,162.5167999267578,33493200,0.0,0.0
2024-05-02 00:00:00-04:00,163.43916484164697,165.36326455481128,162.54654844018515,165.25416564941406,24294500,0.0,0.0
2024-05-03 00:00:00-04:00,166.18646385430256,166.5831940285256,161.71343896761203,165.8690948486328,34662400,0.0,0.0
2024-05-06 00:00:00-04:00,166.08730795373265,166.76172661144676,164.6690220425713,166.72206115722656,21871300,0.0,0.0
2024-05-07 00:00:00-04:00,167.11874933173186,170.35202057689946,167.00965043305126,169.84620666503906,28039700,0.0,0.0
2024-05-08 00:00:00-04:00,167.61467198559197,168.75523914384442,167.35680870759575,167.99156188964844,19569100,0.0,0.0
2024-05-09 00:00:00-04:00,168.00146814371737,169.2908147525702,166.80138015076668,168.56680297851562,15346700,0.0,0.0
2024-05-10 00:00:00-04:00,166.65260426676096,168.45769242107335,164.82769095498062,167.26751708984375,29799900,0.0,0.0
2024-05-13 00:00:00-04:00,162.91350746089623,167.89236129533526,162.65564420480408,167.75350952148438,31327600,0.0,0.0
2024-05-14 00:00:00-04:00,168.37836010153808,169.8462239602229,167.41631020621995,168.9436798095703,25127100,0.0,0.0
2024-05-15 00:00:00-04:00,169.23133754428162,171.2347685518774,169.1123109026329,171.09591674804688,26948400,0.0,0.0
2024-05-16 00:00:00-04:00,171.8694782348091,173.68447893916473,171.27440571230892,172.75218200683594,27867900,0.0,0.0
2024-05-17 00:00:00-04:00,172.75219674772163,174.8250760090424,172.2662230829347,174.61679077148438,24479300,0.0,0.0
2024-05-20 00:00:00-04:00,174.74571485082933,177.3045675555055,174.63661595177967,175.4697265625,22554400,0.0,0.0
2024-05-21 00:00:00-04:00,175.44991084467418,176.68966435582567,174.36884941504044,176.3921356201172,16989400,0.0,0.0
2024-05-22 00:00:00-04:00,175.19206741296415,175.69788145469064,173.77379649968768,174.9342041015625,17880000,0.0,0.0
2024-05-23 00:00:00-04:00,175.61853049301604,176.78885054238378,171.53229263275466,172.12738037109375,21024900,0.0,0.0
2024-05-24 00:00:00-04:00,173.54562953855606,174.32916213437795,172.22653015180546,173.55555725097656,16579400,0.0,0.0
2024-05-28 00:00:00-04:00,173.01999755281523,175.8168887472588,172.94065151179802,174.95401000976562,20572200,0.0,0.0
2024-05-29 00:00:00-04:00,173.99196607552997,175.3904117210104,173.28779452948098,174.45811462402344,23388700,0.0,0.0
2024-05-30 00:00:00-04:00,173.7638553909168,173.78369568525272,170.381804057889,170.69918823242188,22931500,0.0,0.0
2024-05-31 00:00:00-04:00,170.45119968433661,171.64135980722156,168.05103914863497,171.08595275878906,37638900,0.0,0.0
2024-06-03 00:00:00-04:00,171.12563247401937,173.09932530985793,169.75695502874458,171.75047302246094,27459100,0.0,0.0
2024-06-04 00:00:00-04:00,171.85957302701576,172.42490783803038,170.48096786025872,172.36538696289062,26879600,0.0,0.0
2024-06-05 00:00:00-04:00,173.7638369582265,175.2019479039631,172.50424324144495,173.9721221923828,22068500,0.0,0.0
2024-06-06 00:00:00-04:00,174.45811286491957,175.69786641038863,174.3093484929474,175.28131103515625,23251000,0.0,0.0
2024-06-07 00:00:00-04:00,175.5986726101232,176.41194296176616,172.87121516107322,173.0299072265625,19661400,0.0,0.0
2024-06-10 00:00:00-04:00,173.73488619485127,175.8101292272444,171.54047994095143,173.77459716796875,23726700,0.2,0.0
2024-06-11 00:00:00-04:00,174.97604442706512,175.59166292904035,172.54334228263093,175.3732147216797,21540600,0.0,0.0
2024-06-12 00:00:00-04:00,176.99174796777623,179.13650434238232,174.8668546571235,176.5349884033203,27864700,0.0,0.0
2024-06-13 00:00:00-04:00,174.86682906819652,175.4923867070194,173.64551595765906,173.9235382080078,20913300,0.0,0.0
2024-06-14 00:00:00-04:00,172.99021747019344,175.8101668483586,172.92070431351652,175.5420684814453,18063600,0.0,0.0
2024-06-17 00:00:00-04:00,174.2214575995777,177.10098082049785,173.57603677345472,175.9888916015625,19618500,0.0,0.0
2024-06-18 00:00:00-04:00,175.88958192240335,176.13781719186318,172.87104771224654,173.8540496826172,21869900,0.0,0.0
2024-06-20 00:00:00-04:00,174.13206841253606,176.03851342488448,173.7547611134038,175.05551147460938,20160100,0.0,0.0
2024-06-21 00:00:00-04:00,175.7505447565084,179.57337340062563,175.36329839952862,178.3619842529297,57759000,0.0,0.0
2024-06-24 00:00:00-04:00,178.88826202454848,179.61310474396652,177.40877441541713,177.95489501953125,18298000,0.0,0.0
2024-06-25 00:00:00-04:00,178.35205317535076,182.98908571292054,178.15346801046124,182.73092651367188,23130200,0.0,0.0
2024-06-26 00:00:00-04:00,181.34083960482536,183.2075585872156,181.19188934781172,182.58201599121094,19839000,0.0,0.0
2024-06-27 00:00:00-04:00,182.87988309562385,184.73669324083986,182.7210240356858,184.10121154785156,18848900,0.0,0.0
2024-06-28 00:00:00-04:00,183.01887663600002,183.82315635258536,180.67553547170056,180.8641815185547,29156600,0.0,0.0
2024-07-01 00:00:00-04:00,181.7379989393426,182.58200489120532,180.02021516731907,181.6982879638672,16006100,0.0,0.0
2024-07-02 00:00:00-04:00,180.76490422906483,184.26006063956154,180.27835770580916,183.93238830566406,17372500,0.0,0.0
2024-07-03 00:00:00-04:00,183.54516199454144,184.77639921891327,182.7011560285435,184.50831604003906,10242100,0.0,0.0
2024-07-05 00:00:00-04:00,184.54801654082962,189.5127215858847,184.48844250446135,189.2545623779297,20967500,0.0,0.0
2024-07-08 00:00:00-04:00,188.55950207105113,188.8276004007438,186.4544718628467,187.69564819335938,21035900,0.0,0.0
2024-07-09 00:00:00-04:00,188.96657878100095,190.00916974808453,187.38780639857262,187.64596557617188,15121400,0.0,0.0
2024-07-10 00:00:00-04:00,187.8147905079295,190.3964432565855,187.69564243220248,189.83045959472656,15952500,0.0,0.0
