ticker,filing_id,remarks_sentiment,remarks_confidence,remarks_prob_positive,remarks_prob_negative,remarks_prob_neutral,remarks_n_chunks,qa_sentiment,qa_confidence,qa_prob_positive,qa_prob_negative,qa_prob_neutral,qa_n_chunks,filing_date,tone_surprise,eps_estimate,eps_actual,earnings_surprise,tone_surprise_z,earnings_surprise_z,composite_signal
AAPL,0000320193-25-000071,-0.037594103834546,0.9015858974613128,0.0371260278415484,0.0747201316760944,0.8881538426045512,61,,,,,,0,2025-07-31,0.0115654665317255,1.43,1.57,0.09790209790209799,0.10072003473133026,-0.15757511687131814,-0.028427541069993942
AAPL,0000320193-25-000077,-0.043530554791528,0.8918003089844234,0.0390784013425073,0.0826089561340354,0.8783126458052605,63,,,,,,0,2025-10-30,-0.00015371769111924977,1.77,1.85,0.04519774011299439,-0.5148420017499968,-0.7545008534127915,-0.6346714275813942
AAPL,0000320193-26-000005,-0.0327908933071083,0.903633544679548,0.0391678443697632,0.0719587376768716,0.8888734207167978,61,,,,,,0,2026-01-29,0.010637183023673537,2.67,2.84,0.0636704119850187,0.05196100203905384,-0.5452807106075069,-0.24665985428422654
AMZN,0001018724-25-000084,0.0422280605041211,0.8754907529200276,0.1136997767063158,0.0714717162021946,0.8148285092245187,62,,,,,,0,2025-07-31,0.020751461519406395,1.32,1.68,0.2727272727272726,0.5832237375659899,1.8224821426459337,1.2028529401059618
AMZN,0001018724-25-000121,0.070500547051779,0.8716456200927496,0.1460419904324226,0.0755414433806436,0.7784165621560533,64,,,,,,0,2025-10-30,0.038648217307361094,1.56,1.95,0.24999999999999992,1.52326898557628,1.5650746989086914,1.5441718422424857
AMZN,0001018724-26-000002,0.0684056260775941,0.8655603350098453,0.1395882125943899,0.0711825865167957,0.7892292014587281,67,,,,,,0,2026-02-05,0.0236705572307225,1.95,1.95,0.0,0.7365522002450643,-1.2664071822009817,-0.2649274909779587
GOOGL,0001652044-25-000087,-0.0384290475646654,0.8815892958641052,0.0515137445554137,0.0899427921200792,0.8585434648642938,75,,,,,,0,2025-10-29,-0.006929794959723901,2.26,2.87,0.2699115044247789,-0.8707623323380421,1.7905909549262784,0.45991431129411814
GOOGL,0001652044-26-000012,-0.0396098439763907,0.8870110868111901,0.0465049951479,0.0861148391242908,0.8673801697466684,92,,,,,,0,2026-02-04,-0.004645693891587255,2.64,2.82,0.06818181818181807,-0.7507876072807659,-0.4941848509892537,-0.6224862291350097
META,0001628280-25-036719,-0.004093251617278,0.8759049742908801,0.0742569676584611,0.0783502192757392,0.8473928107296006,59,,,,,,0,2025-07-30,0.0182790528606757,5.9,7.14,0.2101694915254236,0.45335796533795536,1.1139572466640988,0.7836576060010271
META,0001628280-25-047114,0.0162776973793062,0.8784356602167679,0.1022085885722505,0.0859308911929443,0.8118605280326585,59,,,,,,0,2025-10-29,0.02951047542692205,6.67,7.25,0.08695652173913045,1.0432998261360698,-0.2815439192063123,0.38087795346487874
META,0001628280-26-003832,-0.048095144379627,0.8728073753159622,0.0524436819270767,0.1005388263067037,0.8470174906261522,58,,,,,,0,2026-01-28,-0.0446991914743185,8.18,8.88,0.0855745721271395,-2.8546381886347154,-0.297195780354148,-1.5759169844944316
MSFT,0000950170-25-061032,-0.0237073640353859,0.8821580050483583,0.0655348951824837,0.0892422592178696,0.845222842066534,63,,,,,,0,2025-04-30,0.012269099819518303,3.22,3.46,0.07453416149068315,0.13767908677229646,-0.42223867106269464,-0.1422797921451991
MSFT,0000950170-25-100226,-0.02195823503538,0.8853039376197323,0.0645454341335402,0.0865036691689202,0.8489508975537554,62,,,,,,0,2025-07-30,0.00788367890976505,3.38,3.65,0.07988165680473373,-0.0926695940491253,-0.3616733266984822,-0.22717146037380373
MSFT,0001193125-25-256310,-0.0026156511157751,0.8694998502083446,0.0869108096332005,0.0895264607489756,0.8235627238274269,92,,,,,,0,2025-10-29,0.024598369859448264,3.66,3.72,0.016393442622950834,0.7852864995231833,-1.0807362391773963,-0.14772486982710648
MSFT,0001193125-26-027198,-0.0177304955432191,0.8723186505958438,0.0725143488816684,0.0902448444248875,0.8372408103896305,64,,,,,,0,2026-01-28,0.0033339329671421974,3.92,4.14,0.056122448979591774,-0.33164961387457864,-0.6307683925641168,-0.4812090032193477
